user_id,interarrival_mean,interarrival_std_dev
3098421349.0,56770.61809045226,67115.33153992046
554067867.0,12150.78391959799,15781.264917952416
256597786.0,306043.2528089888,801265.6216241454
103351486.0,62612.4595959596,73677.01733423096
199973582.0,5310.854271356784,26303.22765114978
22942001.0,22054.331578947367,41409.607022380085
338914454.0,30043.50753768844,51262.68719527976
139758430.0,7003.0205128205125,96680.0925441119
2174620748.0,337854.3072916667,2631270.332243821
3264569385.0,574.9209039548023,882.8784423839454
15109265.0,52366.52777777778,52930.11417157434
724324885.0,20061.775510204083,14967.628684237065
35457209.0,115527.9274611399,160377.15237143956
83683408.0,154107.55778894472,227977.34895704626
575402168.0,100090.07142857143,176900.51797934974
2512221956.0,303368.6206896552,644784.9097199305
3018439679.0,18371.442211055277,43282.99371926504
434308370.0,228636.62295081967,605343.3815997565
3295996710.0,105142.32663316582,320995.9194147387
167561205.0,86151.51256281407,127160.0526381745
4422755772.0,248694.0703517588,2553451.7041411554
1068221456.0,31693.497487437187,14341.666573984365
3673821932.0,88482.50793650794,716266.8263641001
72126063.0,11938.417085427136,27805.21203034011
3233845421.0,27660.929648241206,188396.52093063958
16313297.0,2751682.721153846,5550881.260562484
628493945.0,104556.1256281407,843162.9221905599
1622413069.0,7037.165829145729,10580.889768782863
523247729.0,921276.3333333334,658889.4468089637
2312109649.0,223168.22959183675,523536.14393770037
3294732860.0,95051.41708542714,815609.6135329133
2838900554.0,40109.24615384615,387747.6594870603
403078748.0,52696.306532663315,81275.40524574954
1390556054.0,126202.39285714286,175995.69342111566
21125645.0,34634.46231155779,35631.63856845065
1154538534.0,5343.8,8725.280838460158
35289761.0,11230.39175257732,29319.51763838486
1467026630.0,108785.01507537688,97018.17911644252
2784221536.0,287099.9190751445,333121.10569273034
321519271.0,10634.545918367347,40565.82877518071
2802302704.0,37781.34170854271,58574.53155346064
312931148.0,279781.59444444446,998378.5252422589
961897154.0,44502.030150753766,8567.349552274012
2687223536.0,441.7608695652174,435.84790849374775
154155992.0,337110.6845238095,435093.8114927348
258478116.0,56812.69849246231,32397.469865996303
2961735746.0,261753.52261306532,1545952.328688217
119064154.0,41878.18090452261,384332.8160157815
611657123.0,25873.58115183246,167439.6771884934
82323247.0,85111.51282051283,159688.0345151328
2244794124.0,3637.0552763819096,4334.562806741615
3393094667.0,7851.185929648242,7981.531352079257
35623824.0,202443.97487437187,2249976.08623096
4128024430.0,163964.02525252526,759040.6564196773
